id,timestamp,market,sinal,entry_price,stop_loss,alvo1,alvo2,quantidade,risco_usd,rr_planejado,score_ponderado,qualidade_setup,mentor_veredicto,status,exit_price,exit_timestamp,pnl_usd,pnl_pct,resultado,motivo_saida,erros_execucao,notas,ordem_id,alpha_vs_btc
2026-05-13 05:08:55,COSUSDT,0,NONE,G1|G2,G4,2,1268,BULLISH,35,48,0,0,00167991,5211777,91407142,0,,,bloqueado G4,20260513_0508,
2026-05-13 05:08:55,ATAUSDT,0,NONE,G1|G2,G4,2,5995,BEARISH,-22,53,0,0,008347,473436,76977958,0,,,bloqueado G4,20260513_0508,
2026-05-13 05:08:56,POLSUSDT,0,NONE,G1|G2,G4,3,3239,BULLISH,72,43,0,0,133803,248500,39612826,0,,,bloqueado G4,20260513_0508,
2026-05-13 06:13:23,COSUSDT,0,NONE,G1|G2,G4,2,629,BULLISH,43,33,0,0,00177732,6442397,61857234,0,,,bloqueado G4,20260513_0613,
2026-05-13 06:13:23,ATAUSDT,0,NONE,G1|G2,G4,3,1854,BEARISH,-31,36,0,0,007396,580143,17324405,0,,,bloqueado G4,20260513_0613,
2026-05-13 06:13:23,POLSUSDT,0,NONE,G1|G2,G4,3,712,BULLISH,58,31,0,0,122851,277518,30528437,0,,,bloqueado G4,20260513_0613,
2026-05-13 06:13:24,MLNUSDT,0,NONE,G1|G2,G4,2,6468,BEARISH,-25,01,0,2,2908,2726,44856065,0,,,bloqueado G4,20260513_0613,
2026-05-13 07:18:09,COSUSDT,0,NONE,G1|G2,G4,3,0139,BULLISH,39,44,0,0,00172905,7385492,79314307,0,,,bloqueado G4,20260513_0718,
2026-05-13 07:18:10,ATAUSDT,0,NONE,G1|G2,G4,5,0146,BEARISH,-36,92,0,0,006797,913281,44194366,0,,,bloqueado G4,20260513_0718,
2026-05-13 07:18:10,POLSUSDT,0,NONE,G1|G2,G4,4,0443,BULLISH,70,68,0,0,132444,302364,32333088,0,,,bloqueado G4,20260513_0718,
2026-05-13 07:18:10,MLNUSDT,0,NONE,G1|G2,G4,3,3672,BEARISH,-29,12,0,2,1653,3468,44281052,0,,,bloqueado G4,20260513_0718,
2026-05-13 07:18:10,FARMUSDT,0,NONE,G1,G1B,9,0763,BEARISH,-24,21,11822,22,9,4023,1640,2572055,0,,,BLOQUEADO -- G1B: spike de distribuicao (chg=-24.21% com spike 9.0763x),20260513_0718,
2026-05-13 08:22:26,COSUSDT,0,NONE,G1|G2,G4,3,2364,BULLISH,23,43,0,0,00153052,7930853,05468614,0,,,bloqueado G4,20260513_0822,
2026-05-13 08:22:26,ATAUSDT,0,NONE,G1|G2,G4,8,3386,BEARISH,-33,8,0,0,007133,1518672,36132178,0,,,bloqueado G4,20260513_0822,
2026-05-13 08:22:26,POLSUSDT,0,NONE,G1|G2,G4,4,2042,BULLISH,64,67,0,0,127782,314314,09507696,0,,,bloqueado G4,20260513_0822,
2026-05-13 08:22:27,MLNUSDT,0,NONE,G1|G2,G4,4,704,BEARISH,-27,17,0,2,225,4845,50559153,0,,,bloqueado G4,20260513_0822,
2026-05-13 08:22:27,IRYSUSDT,0,NONE,G1|G2,G4,2,1301,NEUTRAL,-3,37,0,0,05101,596048,12250577,0,,,bloqueado G4,20260513_0822,
2026-05-13 08:22:27,FARMUSDT,0,NONE,G1,G1B,9,2106,BEARISH,-23,62,11822,22,9,4251,1664,52865675,0,,,BLOQUEADO -- G1B: spike de distribuicao (chg=-23.62% com spike 9.2106x),20260513_0822,
2026-05-13 08:57:13,FIOUSDT,0,NONE,G1|G2,G4,2,0506,BULLISH,8,54,0,0,000788,8261935,47004039,0,,,bloqueado G4,20260513_0857,
2026-05-13 08:57:13,COSUSDT,0,NONE,G1|G2,G4,3,395,BULLISH,25,0,0,00156274,8319304,07669665,0,,,bloqueado G4,20260513_0857,
2026-05-13 08:57:13,SYSUSDT,0,NONE,G1|G2,G4,2,4023,BEARISH,-34,42,0,0,006694,894841,76383871,0,,,bloqueado G4,20260513_0857,
