"timestamp","market","direction","entry","stop","target1","rr","risk_usd","position_usd","capital","emotion","score","consensus","weinstein_1d","adx_1d","ichimoku_1d","squeeze_4h","elder_active","cycle","po3","funding","mentor_verdict","mentor_quality","exit_price","pnl_usd","result","notes"
"2026-05-12 12:14","TONUSDT","LONG","2,3544","2,2387","2,4484","0,81","10,00","203,67","1000","7","22,5","LONG-FORTE","FASE2-UPTREND(comprar)","77,9","ACIMA-NUVEM(bullish)","SQUEEZE-ATIVO(breakout-iminente)","False","BEAR-MARKET-POSSIVEL(>24m)","PO3-FASE3-NY(movimento-real)","-0,0125","ERRO","?","","","",""
"2026-05-12 12:17","TONUSDT","LONG","2,3456","2,2299","2,4484","0,89","10,00","202,84","1000","7","19","LONG-FORTE","FASE2-UPTREND(comprar)","77,9","ACIMA-NUVEM(bullish)","SQUEEZE-ATIVO(breakout-iminente)","False","BEAR-MARKET-POSSIVEL(>24m)","PO3-FASE3-NY(movimento-real)","-0,0129","ERRO","?","","","",""
"2026-05-12 12:21","TONUSDT","LONG","2,3374","2,2204","2,4484","0,95","10,00","199,60","1000","7","20","LONG-FORTE","FASE2-UPTREND(comprar)","77,9","ACIMA-NUVEM(bullish)","SQUEEZE-ATIVO(breakout-iminente)","False","BEAR-MARKET-POSSIVEL(>24m)","PO3-FASE3-NY(movimento-real)","-0,014","ERRO","?","","","",""
"2026-05-12 12:29","BTCUSDT","LONG","80200","79459,2866","81635,216","1,94","10,00","1086,96","1000","8","11","LONG-FORTE","FASE2-UPTREND(comprar)","52,8","ACIMA-NUVEM(bullish)","SQUEEZE-ATIVO(breakout-iminente)","False","BEAR-MARKET-POSSIVEL(>24m)","PO3-FASE3-NY(movimento-real)","0","ERRO","?","","","",""
"2026-05-12 12:30","BTCUSDT","LONG","80189","79448,2866","81635,216","1,95","10,00","1086,96","1000","8","11","LONG-FORTE","FASE2-UPTREND(comprar)","52,8","ACIMA-NUVEM(bullish)","SQUEEZE-ATIVO(breakout-iminente)","False","BEAR-MARKET-POSSIVEL(>24m)","PO3-FASE3-NY(movimento-real)","0","ERRO","?","","","",""
"2026-05-12 12:32","BTCUSDT","LONG","80342","79601,2866","81635,216","1,75","10,00","1086,96","1000","8","6,5","LONG-FORTE","FASE2-UPTREND(comprar)","52,8","ACIMA-NUVEM(bullish)","SQUEEZE-ATIVO(breakout-iminente)","False","BEAR-MARKET-POSSIVEL(>24m)","PO3-FASE3-NY(movimento-real)","0","BLOQUEADO","C","","","",""
"2026-05-12 12:38","BTCUSDT","LONG","80377","79636,2866","81635,216","1,7","10,00","1086,96","1000","8","6,5","LONG-FORTE","FASE2-UPTREND(comprar)","52,8","ACIMA-NUVEM(bullish)","SQUEEZE-ATIVO(breakout-iminente)","False","BEAR-MARKET-POSSIVEL(>24m)","PO3-FASE3-NY(movimento-real)","0","BLOQUEADO","C","","","",""
